"","SS","1","2","3","4"
"358","BG_12_71",4.83333333333333,4.88333333333333,4.91666666666667,5.01666666666667
"359","BG_12_72",4.85,4.86666666666667,4.88333333333333,5.01666666666667
"360","BG_12_73",5.06666666666667,5.05,4.96666666666667,4.88333333333333
"361","BG_12_74",4.93333333333333,4.86666666666667,4.81666666666667,4.8
"362","BG_12_75",4.86666666666667,4.85,4.88333333333333,NA
"363","BG_12_76",4.75,4.76666666666667,4.26666666666667,4.83333333333333
"364","BG_12_77",5.08333333333333,4.98333333333333,4.96666666666667,4.88333333333333
"365","BG_12_78",4.96666666666667,4.95,4.91666666666667,4.9
"366","BG_12_79",4.85,4.85,5.01666666666667,NA
"367","BG_12_8",4.85,4.91666666666667,4.95,5.06666666666667
"368","BG_12_80",4.86666666666667,4.85,4.85,4.96666666666667
"369","BG_12_81",5.01666666666667,4.93333333333333,4.88333333333333,4.85
"370","BG_12_82",5,4.9,4.85,4.85
"371","BG_12_83",4.88333333333333,4.85,4.83333333333333,4.9
"372","BG_12_84",4.83333333333333,4.88333333333333,4.93333333333333,NA
"373","BG_12_85",5.13333333333333,5.08333333333333,5.05,4.95
"374","BG_12_86",5.08333333333333,5.01666666666667,4.88333333333333,NA
"375","BG_12_87",4.85,4.83333333333333,4.85,NA
"376","BG_12_88",4.26666666666667,4.85,NA,NA
"377","BG_12_89",4.96666666666667,4.93333333333333,4.88333333333333,4.8
"378","BG_12_9",5.06666666666667,4.95,4.93333333333333,4.85
"379","BG_12_90",5.08333333333333,4.96666666666667,4.91666666666667,4.9
"380","BG_12_91",4.98333333333333,4.86666666666667,NA,NA
"381","BG_12_92",5.06666666666667,4.91666666666667,4.88333333333333,4.86666666666667
"382","BG_12_93",4.85,4.83333333333333,4.85,4.86666666666667
"383","BG_12_94",4.85,4.85,4.86666666666667,4.93333333333333
"384","BG_12_95",5.08333333333333,5.06666666666667,4.95,4.88333333333333
"385","BG_12_96",5.11666666666667,4.98333333333333,4.95,4.9
"386","BG_12_97",4.83333333333333,4.88333333333333,4.88333333333333,4.98333333333333
"387","BG_12_98",4.88333333333333,4.85,4.85,4.9
"388","BG_12_99",5.06666666666667,5,4.95,4.93333333333333
"389","BG_13_1",5.08333333333333,5.06666666666667,5.05,5.01666666666667
"390","BG_13_10",5.01666666666667,4.98333333333333,4.93333333333333,4.91666666666667
"391","BG_13_100",5,4.96666666666667,4.93333333333333,4.88333333333333
"392","BG_13_11",4.98333333333333,4.95,4.9,NA
"393","BG_13_12",5.06666666666667,5.05,4.95,4.9
"394","BG_13_13",4.61666666666667,4.1,4.58333333333333,4.58333333333333
"395","BG_13_14",4.61666666666667,4.61666666666667,4.58333333333333,4.58333333333333
"396","BG_13_15",4.95,4.85,4.66666666666667,4.65
"397","BG_13_16",4.86666666666667,4.76666666666667,4.68333333333333,4.65
"398","BG_13_17",4.88333333333333,4.83333333333333,4.83333333333333,4.85
"399","BG_13_18",4.86666666666667,4.85,4.85,4.85
"400","BG_13_19",5.08333333333333,4.95,4.88333333333333,NA
"401","BG_13_2",5.08333333333333,5.01666666666667,5,4.9
"402","BG_13_20",5.05,5,4.98333333333333,4.9
"403","BG_13_21",4.83333333333333,4.83333333333333,4.85,4.86666666666667
"404","BG_13_22",4.85,4.83333333333333,4.83333333333333,4.85
"405","BG_13_23",4.98333333333333,4.95,4.93333333333333,4.88333333333333
"406","BG_13_24",5.06666666666667,5,4.96666666666667,4.88333333333333
"407","BG_13_25",4.85,4.83333333333333,4.83333333333333,4.85
"408","BG_13_26",4.85,4.83333333333333,4.83333333333333,4.83333333333333
"409","BG_13_27",4.95,5.45,4.86666666666667,4.8
"410","BG_13_28",5.05,5.45,4.85,4.81666666666667
"411","BG_13_29",4.86666666666667,4.86666666666667,4.91666666666667,NA
"412","BG_13_3",4.58333333333333,4.58333333333333,4.58333333333333,4.58333333333333
"413","BG_13_30",4.86666666666667,4.86666666666667,4.88333333333333,4.9
"414","BG_13_31",4.88333333333333,4.85,4.85,4.85
"415","BG_13_32",4.85,4.85,4.83333333333333,4.88333333333333
"416","BG_13_33",5.08333333333333,4.96666666666667,4.95,4.93333333333333
"417","BG_13_34",5.08333333333333,5.06666666666667,4.96666666666667,4.93333333333333
"418","BG_13_35",4.85,4.85,4.83333333333333,4.83333333333333
"419","BG_13_36",4.86666666666667,4.85,4.85,4.83333333333333
"420","BG_13_37",5.05,5.36666666666667,4.8,4.78333333333333
"421","BG_13_38",5,4.95,4.85,NA
"422","BG_13_4",4.61666666666667,4.58333333333333,4.58333333333333,4.58333333333333
"423","BG_13_40",4.85,4.86666666666667,4.86666666666667,4.88333333333333
"424","BG_13_41",4.85,4.86666666666667,4.88333333333333,NA
"425","BG_13_42",4.86666666666667,4.88333333333333,4.9,NA
"426","BG_13_43",4.85,4.86666666666667,4.88333333333333,4.88333333333333
"427","BG_13_44",4.85,4.86666666666667,4.86666666666667,4.88333333333333
"428","BG_13_45",5.08333333333333,5.05,4.86666666666667,NA
"429","BG_13_46",4.85,4.85,4.9,NA
"430","BG_13_47",4.85,4.83333333333333,4.85,4.86666666666667
"431","BG_13_48",4.85,4.85,4.86666666666667,4.86666666666667
"432","BG_13_49",4.86666666666667,4.86666666666667,4.9,4.93333333333333
"433","BG_13_5",4.76666666666667,4.7,4.66666666666667,4.65
"434","BG_13_50",4.85,4.85,4.86666666666667,4.9
"435","BG_13_51",4.86666666666667,4.88333333333333,4.91666666666667,NA
"436","BG_13_52",4.86666666666667,4.88333333333333,4.9,4.9
"437","BG_13_53",4.86666666666667,4.88333333333333,4.9,NA
"438","BG_13_54",4.61666666666667,4.63333333333333,4.65,NA
"439","BG_13_55",5.1,5.06666666666667,5,4.95
"440","BG_13_56",5.08333333333333,5.05,4.96666666666667,4.93333333333333
"441","BG_13_57",4.85,4.83333333333333,4.83333333333333,4.85
