"","location","Year","method","recording_date","transcriber","n"
"4525","BG-2-61",2015,"3m 1SPM","2015-06-14","Christopher Moser-Purdy",1
"4526","BG-2-61",2015,"3m 1SPM","2015-06-14","D Emkoad",1
"4527","BG-2-61",2015,"3m 1SPM","2015-06-17","Christopher Moser-Purdy",1
"4528","BG-2-61",2015,"3m 1SPM","2015-06-18","Christopher Moser-Purdy",1
"4529","BG-2-61",2015,"3m 1SPM","2015-06-18","Jillian Slater",1
"4530","BG-2-61",2015,"3m 1SPM","2015-06-19","Tyne Baker",1
"4531","BG-2-61",2015,"3m 1SPM","2015-06-20","Christopher Moser-Purdy",1
"4532","BG-2-62",2015,"3m1SPM+7mVS","2015-06-09","Nicole Boucher",1
"4533","BG-2-62",2015,"3m1SPM+7mVS","2015-06-12","Nicole Boucher",1
"4534","BG-2-62",2015,"3m1SPM+7mVS","2015-06-16","Natalie Sanchez",1
"4535","BG-2-62",2015,"3m1SPM+7mVS","2015-06-17","Nicole Boucher",1
"4536","BG-2-63",2015,"3m1SPM+7mVS","2015-06-14","Natalie Sanchez",1
"4537","BG-2-63",2015,"3m1SPM+7mVS","2015-06-17","Nicole Boucher",1
"4538","BG-2-63",2015,"3m1SPM+7mVS","2015-06-19","Nicole Boucher",1
"4539","BG-2-63",2015,"3m1SPM+7mVS","2015-06-21","Alex MacPhail",1
"4540","BG-2-64",2015,"3m1SPM+7mVS","2015-06-14","Nicole Boucher",1
"4541","BG-2-64",2015,"3m1SPM+7mVS","2015-06-16","Alex MacPhail",1
"4542","BG-2-64",2015,"3m1SPM+7mVS","2015-06-18","Nicole Boucher",1
"4543","BG-2-64",2015,"3m1SPM+7mVS","2015-06-19","Jocelyne Gregoire",1
"4544","BG-2-65",2015,"3m1SPM+7mVS","2015-06-13","Nicole Boucher",1
"4545","BG-2-65",2015,"3m1SPM+7mVS","2015-06-14","Graeme Nordell",1
"4546","BG-2-65",2015,"3m1SPM+7mVS","2015-06-18","Jocelyne Gregoire",1
"4547","BG-2-65",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"4548","BG-2-66",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4549","BG-2-66",2015,"3m1SPM+7mVS","2015-06-28","Natalie Sanchez",1
"4550","BG-2-66",2015,"3m1SPM+7mVS","2015-06-29","Natalie Sanchez",1
"4551","BG-2-66",2015,"3m1SPM+7mVS","2015-07-02","Natalie Sanchez",1
"4552","BG-2-67",2015,"3m1SPM+7mVS","2015-06-24","Natalie Sanchez",1
"4553","BG-2-67",2015,"3m1SPM+7mVS","2015-06-27","Alex MacPhail",1
"4554","BG-2-67",2015,"3m1SPM+7mVS","2015-06-28","Natalie Sanchez",1
"4555","BG-2-67",2015,"3m1SPM+7mVS","2015-07-03","Nicole Boucher",1
"4556","BG-2-68",2015,"3m 1SPM","2015-06-28","S Shappas",1
"4557","BG-2-68",2015,"3m 1SPM","2015-07-02","Brandon Law",1
"4558","BG-2-68",2015,"3m1SPM+7mVS","2015-06-23","Natalie Sanchez",1
"4559","BG-2-68",2015,"3m1SPM+7mVS","2015-07-01","Graeme Nordell",1
"4560","BG-2-69",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4561","BG-2-69",2015,"3m1SPM+7mVS","2015-06-30","Graeme Nordell",1
"4562","BG-2-69",2015,"3m1SPM+7mVS","2015-07-02","Nicole Boucher",1
"4563","BG-2-7",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"4564","BG-2-7",2015,"3m1SPM+7mVS","2015-06-22","Natalie Sanchez",1
"4565","BG-2-7",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"4566","BG-2-7",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4567","BG-2-70",2015,"3m1SPM+7mVS","2015-06-25","Alex MacPhail",1
"4568","BG-2-70",2015,"3m1SPM+7mVS","2015-06-29","Natalie Sanchez",1
"4569","BG-2-70",2015,"3m1SPM+7mVS","2015-06-30","Nicole Boucher",1
"4570","BG-2-70",2015,"3m1SPM+7mVS","2015-07-01","Nicole Boucher",1
"4571","BG-2-71",2015,"3m 1SPM","2015-06-21","D Emkoad",1
"4572","BG-2-71",2015,"3m1SPM+7mVS","2015-06-06","Nicole Boucher",1
"4573","BG-2-71",2015,"3m1SPM+7mVS","2015-06-10","Nicole Boucher",1
"4574","BG-2-71",2015,"3m1SPM+7mVS","2015-06-18","Alex MacPhail",1
"4575","BG-2-71",2015,"3m1SPM+7mVS","2015-06-21","Jocelyne Gregoire",1
"4576","BG-2-72",2015,"3m1SPM+7mVS","2015-06-10","Nicole Boucher",1
"4577","BG-2-72",2015,"3m1SPM+7mVS","2015-06-13","Natalie Sanchez",1
"4578","BG-2-72",2015,"3m1SPM+7mVS","2015-06-16","Nicole Boucher",1
"4579","BG-2-72",2015,"3m1SPM+7mVS","2015-06-19","Alex MacPhail",1
"4580","BG-2-73",2015,"3m1SPM+7mVS","2015-06-09","Natalie Sanchez",1
"4581","BG-2-73",2015,"3m1SPM+7mVS","2015-06-13","Alex MacPhail",1
"4582","BG-2-73",2015,"3m1SPM+7mVS","2015-06-17","Jocelyne Gregoire",1
"4583","BG-2-73",2015,"3m1SPM+7mVS","2015-06-19","Natalie Sanchez",1
"4584","BG-2-74",2015,"3m 1SPM","2015-06-14","D Emkoad",1
"4585","BG-2-74",2015,"3m1SPM+7mVS","2015-06-11","Natalie Sanchez",1
"4586","BG-2-74",2015,"3m1SPM+7mVS","2015-06-20","Jocelyne Gregoire",1
"4587","BG-2-74",2015,"3m1SPM+7mVS","2015-06-22","Alex MacPhail",1
"4588","BG-2-74",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4589","BG-2-75",2015,"3m1SPM+7mVS","2015-06-11","Nicole Boucher",1
"4590","BG-2-75",2015,"3m1SPM+7mVS","2015-06-15","Nicole Boucher",1
"4591","BG-2-75",2015,"3m1SPM+7mVS","2015-06-20","Nicole Boucher",1
"4592","BG-2-75",2015,"3m1SPM+7mVS","2015-06-22","Natalie Sanchez",1
"4593","BG-2-76",2015,"3m1SPM+7mVS","2015-06-13","Nicole Boucher",1
"4594","BG-2-76",2015,"3m1SPM+7mVS","2015-06-17","Alex MacPhail",1
"4595","BG-2-76",2015,"3m1SPM+7mVS","2015-06-20","Natalie Sanchez",1
"4596","BG-2-76",2015,"3m1SPM+7mVS","2015-06-21","Alex MacPhail",1
"4597","BG-2-77",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4598","BG-2-77",2015,"3m1SPM+7mVS","2015-07-01","Nicole Boucher",1
