"","SS","Visits"
"947","BG_18_82",4
"948","BG_18_83",4
"949","BG_18_84",4
"950","BG_18_85",4
"951","BG_18_86",4
"952","BG_18_87",6
"953","BG_18_88",4
"954","BG_18_89",4
"955","BG_18_9",2
"956","BG_18_90",4
"957","BG_18_91",4
"958","BG_18_92",4
"959","BG_18_93",4
"960","BG_18_94",4
"961","BG_18_95",4
"962","BG_18_96",3
"963","BG_18_97",4
"964","BG_18_98",4
"965","BG_18_99",3
"966","BG_19_10",4
"967","BG_19_17",3
"968","BG_19_18",3
"969","BG_19_19",3
"970","BG_19_21",1
"971","BG_19_22",4
"972","BG_19_25",4
"973","BG_19_26",4
"974","BG_19_27",2
"975","BG_19_28",4
"976","BG_19_29",4
"977","BG_19_30",4
"978","BG_19_31",3
"979","BG_19_32",2
"980","BG_19_33",4
"981","BG_19_34",4
"982","BG_19_37",4
"983","BG_19_38",4
"984","BG_19_39",4
"985","BG_19_40",4
"986","BG_19_44",4
"987","BG_19_47",4
"988","BG_19_54",4
"989","BG_19_55",4
"990","BG_19_56",4
"991","BG_19_57",4
"992","BG_19_6",4
"993","BG_19_64",4
"994","BG_19_65",4
"995","BG_19_7",4
"996","BG_19_8",4
"997","BG_19_9",3
"998","BG_2_1",4
"999","BG_2_100",4
"1000","BG_2_11",4
"1001","BG_2_12",3
"1002","BG_2_13",4
"1003","BG_2_14",3
"1004","BG_2_15",3
"1005","BG_2_16",4
"1006","BG_2_17",4
"1007","BG_2_18",4
"1008","BG_2_19",4
"1009","BG_2_2",4
"1010","BG_2_20",4
"1011","BG_2_21",2
"1012","BG_2_22",4
"1013","BG_2_23",4
"1014","BG_2_24",4
"1015","BG_2_25",3
"1016","BG_2_26",3
"1017","BG_2_27",3
"1018","BG_2_28",2
"1019","BG_2_29",4
"1020","BG_2_3",4
"1021","BG_2_30",4
"1022","BG_2_31",4
"1023","BG_2_32",3
"1024","BG_2_33",4
"1025","BG_2_34",4
"1026","BG_2_35",3
"1027","BG_2_37",1
"1028","BG_2_38",2
"1029","BG_2_39",4
"1030","BG_2_4",4
"1031","BG_2_40",3
"1032","BG_2_41",4
"1033","BG_2_42",4
"1034","BG_2_43",4
"1035","BG_2_44",4
"1036","BG_2_45",3
"1037","BG_2_46",3
"1038","BG_2_47",3
"1039","BG_2_48",3
"1040","BG_2_49",4
"1041","BG_2_5",4
"1042","BG_2_50",4
"1043","BG_2_51",4
"1044","BG_2_52",3
"1045","BG_2_53",4
"1046","BG_2_54",3
"1047","BG_2_55",3
"1048","BG_2_56",2
"1049","BG_2_57",4
"1050","BG_2_58",4
"1051","BG_2_59",4
"1052","BG_2_6",4
"1053","BG_2_60",3
"1054","BG_2_61",1
"1055","BG_2_62",4
"1056","BG_2_63",4
"1057","BG_2_64",3
"1058","BG_2_65",3
"1059","BG_2_66",4
"1060","BG_2_67",4
"1061","BG_2_68",2
"1062","BG_2_69",3
"1063","BG_2_7",4
"1064","BG_2_70",4
"1065","BG_2_71",3
"1066","BG_2_72",4
"1067","BG_2_73",3
"1068","BG_2_74",3
"1069","BG_2_75",4
"1070","BG_2_76",4
"1071","BG_2_77",2
"1072","BG_2_78",4
"1073","BG_2_79",4
"1074","BG_2_8",4
"1075","BG_2_80",4
"1076","BG_2_81",4
"1077","BG_2_82",3
"1078","BG_2_83",4
"1079","BG_2_84",4
"1080","BG_2_85",4
"1081","BG_2_86",4
"1082","BG_2_87",4
"1083","BG_2_88",4
"1084","BG_2_89",4
"1085","BG_2_9",4
"1086","BG_2_90",3
"1087","BG_2_91",4
"1088","BG_2_92",4
"1089","BG_2_93",2
"1090","BG_2_94",3
"1091","BG_2_95",3
"1092","BG_2_96",3
"1093","BG_2_97",4
"1094","BG_2_98",4
"1095","BG_2_99",4
"1096","BG_3_10",3
"1097","BG_3_100",2
"1098","BG_3_12",1
"1099","BG_3_13",3
"1100","BG_3_14",2
"1101","BG_3_15",2
"1102","BG_3_16",3
"1103","BG_3_17",3
"1104","BG_3_18",4
"1105","BG_3_19",3
"1106","BG_3_20",3
"1107","BG_3_22",2
"1108","BG_3_23",2
